roundNo,client_0,client_1,client_2,client_3,client_4
1,,,107,107,107
2,,,115,115,115
3,133,,133,133,
4,139,,,139,139
5,,,155,155,155
6,161,161,,161,
7,180,180,,,180
8,206,,206,206,
9,,,208,208,208
10,227,227,,227,
11,,238,238,238,
12,,247,,247,247
13,,272,272,272,
14,284,,284,,284
15,300,,300,,300
16,,,306,306,306
17,,315,,315,315
18,333,,333,,333
19,,353,353,353,
20,361,361,361,,
21,,382,382,382,
22,398,398,398,,
23,403,403,,403,
24,423,423,,,423
25,429,429,429,,
26,,,448,448,448
27,454,,,454,454
28,,465,465,465,
29,479,,479,,479
30,,,492,492,492
