flight_no,Event,Latitude,Longitude,Altitude,Timestamp,Battery
035,Start,51.50059,7.4652291,126.52616882324219,35.472,1.0
035,Waypoint,51.50059,7.4652335,155.43032836914062,48.064,0.9899999499320984
035,Waypoint,51.5074819,7.4637162,156.98443603515625,115.264,0.9099999666213989
035,Waypoint,51.5101114,7.4666767,157.11683654785156,146.564,0.8799999952316284
035,Waypoint,51.5110733,7.466297,156.94451904296875,157.764,0.8700000047683716
035,Waypoint,51.507066,7.4636191,157.00125122070312,202.164,0.8199999928474426
035,Waypoint,51.4955391,7.4787053,156.92364501953125,341.764,0.6599999666213989
035,Waypoint,51.4914298,7.4804483,156.87071228027344,382.464,0.6200000047683716
035,Waypoint,51.4925752,7.4518182,157.27333068847656,552.664,0.429999977350235
035,Waypoint,51.4975888,7.4485695,157.357666015625,605.364,0.3700000047683716
035,Waypoint,51.4982504,7.4596931,157.12010192871094,673.164,0.28999999165534973
035,Waypoint,51.5005803,7.4652096,157.058349609375,712.776,0.25
035,Landing,51.5006287,7.4653222,127.94019317626953,739.204,0.2199999988079071

