"id","idx","Y","M","O","seed"
"4109101",2309,0.36,0.48,2.16,3
"2906707",1693,0.24,0.32,1.44,2
"1808703",1076,0.36,0.48,2.16,3
"2305005",1299,0.36,0.48,2.16,3
"1101201",679,0.06,0.08,0.36,0.5
"1402106",840,0.12,0.16,0.72,1
"5029702",2825,0.36,0.48,2.16,3
"2212503",1262,0.6,0.8,3.6,5
"44216",2430,1.44,1.92,8.64,12
"3304411",1929,0.24,0.32,1.44,2
"0704002",314,0.12,0.16,0.72,1
"3803802",2141,0.12,0.16,0.72,1
"3907502",2193,0.12,0.16,0.72,1
"4718601",2678,0.96,1.28,5.76,8
"0501904",202,0.6,0.8,3.6,5
"0905905",594,0.24,0.32,1.44,2
"2408903",1353,0.6,0.8,3.6,5
"3727404",2096,1.08,1.44,6.48,9
"4019404",2232,4.8,6.4,28.8,40
"42173",2343,2.88,3.84,17.28,24
"4927502",2782,0.6,0.8,3.6,5
"4516801_AD",2493,6,8,36,50
"1303402",794,4.8,6.4,28.8,40
"0200302",19,1.08,1.44,6.48,9
"1607804",961,1.68,2.24,10.08,14
"0801902",360,1.92,2.56,11.52,16
"1707903",1009,0.48,0.64,2.88,4
"2512006",1417,0.12,0.16,0.72,1
"4314807",2399,0.48,0.64,2.88,4
"4625001",2628,0.6,0.8,3.6,5
"0301404",61,0.36,0.48,2.16,3
"1204004",754,0.24,0.32,1.44,2
"1003704",630,3,4,18,25
"1507805",947,0.48,0.64,2.88,4
"3205403",1869,0.48,0.64,2.88,4
"3603802",2036,0.12,0.16,0.72,1
"2807901",1573,6,8,36,50
"3003002",1767,0.24,0.32,1.44,2
"3120101",1821,0.48,0.64,2.88,4
"0105902",11,0.12,0.16,0.72,1
"2006906",1192,0.24,0.32,1.44,2
"4802005",2717,1.68,2.24,10.08,14
"2608903",1455,0.84,1.12,5.04,7
"5100101",2838,0.012,0.016,0.072,0.1
"5200102",2845,0.012,0.016,0.072,0.1
